incidentid,age,gender,race,schoolaffiliation,shooteroutcome,shooterdied,injury,chargesfiled,verdict,minorchargedadult,criminalhistory
19700105DCHIW,15.0,Male,,Student,Unknown,No,,,,,
19700105DCSOW,,Male,,Student,Surrendered,No,,,,,
19700105DCUNW,,Male,,Student,Fled/Escaped,No,,,,,
19700206OHJOC,18.0,Male,Hispanic,Student,Unknown,No,,,1-5 years,,
19700323CADAL,16.0,Male,Hispanic,Student,Surrendered,No,,Assault with intent to commit murder,,,
19700323CADAL,44.0,Male,Hispanic,Police Officer/SRO,Surrendered,No,,Assault with intent to commit murder,,,
19700415ARPIP,18.0,Male,,No Relation,Fled/Apprehended,No,,8 persons charged with shooting with intent to kill,,,
19700415ARPIP,,Male,,No Relation,Fled/Apprehended,No,,8 persons charged with shooting with intent to kill,,,
19700415ARPIP,,Male,,No Relation,Fled/Apprehended,No,,8 persons charged with shooting with intent to kill,,,
19700415ARPIP,,Male,,No Relation,Fled/Apprehended,No,,8 persons charged with shooting with intent to kill,,,
19700415ARPIP,,Male,,No Relation,Fled/Apprehended,No,,8 persons charged with shooting with intent to kill,,,
19700415ARPIP,,Male,,No Relation,Fled/Apprehended,No,,8 persons charged with shooting with intent to kill,,,
19700415ARPIP,,Male,,No Relation,Fled/Apprehended,No,,8 persons charged with shooting with intent to kill,,,
19700415ARPIP,,Male,,No Relation,Fled/Apprehended,No,,8 persons charged with shooting with intent to kill,,,
19700422DEPIW,16.0,Male,Hispanic,Student,Fled/Apprehended,No,,,,,
19700508FLCAD,18.0,Male,Hispanic,Student,Fled/Apprehended,No,,,,,
19700515UTBEO,15.0,Male,White,Student,Unknown,No,,,sentenced to youth facility until turning 21.,No,
19700828TXRIE,15.0,Male,,Student,Fled/Apprehended,No,,,,,
19700828TXRIE,16.0,Male,,Student,Fled/Apprehended,No,,,,,
19700831FLALM,27.0,Male,Black,No Relation,Apprehended/Killed by LE,No,,First degree murder,,,
19700914TNHAN,18.0,Male,Black,Student,Fled/Apprehended,No,,,,,
19700924IDMEM,,,,Unknown,Unknown,No,,,,,
19700928IACED,17.0,Male,,Student,Fled/Apprehended,No,,,,,
19701005MIPOD,,Male,,Student,Fled/Escaped,No,,,,,
19701019TNBOM,17.0,Male,,Student,Fled/Apprehended,No,,,,,
19701020TNWAN,13.0,Male,,Student,Unknown,No,,,,,
19701027OHAPM,13.0,Male,,Student,Fled/Apprehended,No,,,,,
19701120ILHAC,15.0,Male,,Student,Fled/Apprehended,No,,Aggravated battery,,,
19701212WIXAA,,,,Police Officer/SRO,Law Enforcement,No,,,,,
19710202PAMOP,14.0,Male,Black,Student,Fled/Apprehended,No,,Murder,,Yes,
19710205PAJOW,14.0,Male,,Student,Unknown,No,,"Atrocious assault and battery, unlawful use of a pistol, possession of a knife",,No,
19710210TXOAD,17.0,Male,,Student,Unknown,No,,Four teens charged with assault-to-murder charges,,,
19710225OHFRC,,Male,,Student,Fled/Apprehended,No,,,,,
19710309AZROT,13.0,Male,,Student,Unknown,No,,,,No,
19710405PAWIH,17.0,Male,,Student,Unknown,No,,,Declared a delinquent and committed for an indeterminate term,No,
19710527MIBES,17.0,Male,,Student,Unknown,No,,assault with intent to do great bodily harm,"Plead to assault and battery, served 7 days +time served",No,
19710602NYEAE,13.0,Male,,Student,Suicide,Yes,Suicide,,,,
19710820PAMOM,72.0,Male,White,Security Guard,Surrendered,No,,"Aggravated assault and battery, discharging a firearm in the city limits",,,
19710909TXDUL,15.0,Male,White,Student,Fled/Apprehended,No,,,,,
19710924NYMCB,,,,Student,Unknown,No,,,,,
19710928MNCEM,18.0,Male,,No Relation,Fled/Apprehended,No,,,,,
19710929VAPEP,14.0,Male,Black,Student,Subdued by Students/Staff/Other,No,,,,,
19711028MDCIB,,Male,,Student,Fled/Escaped,No,,,,,
19711029MDFOB,17.0,Male,,Former Student,Fled/Escaped,No,,,,,
19711029MDFRB,,Male,,Student,Fled/Escaped,No,,,,,
19711029MDFRB,,Male,,Student,Fled/Escaped,No,,,,,
19711103NMCAC,22.0,Male,,Former Student,Suicide,Yes,Suicide,,,,
19711108OKGRT,63.0,Male,,Other Staff,Unknown,No,,Murder,,,
19711124MDEDB,17.0,Male,,Student,Fled/Apprehended,No,,Y,Manslaughter,No,
19711206CALOL,14.0,Male,Hispanic,Student,Fled/Apprehended,No,,,,,
19711206CALOL,14.0,Male,Hispanic,Student,Fled/Apprehended,No,,,,,
19711213MDCAB,17.0,Male,,Student,Fled/Apprehended,No,,,,,
19720105DCPAW,61.0,Male,,Teacher,Subdued by Students/Staff/Other,No,,,,,
19720124OHSTS,16.0,Male,White,Student,Surrendered,No,,,,,
19720126MDGWB,,Male,,Student,Unknown,No,,,,,
19720126MDHAB,17.0,Male,,Student,Fled/Apprehended,No,,,,,
19720214ILCAC,,Male,,Student,Fled/Escaped,No,,,,,
19720215ILKEC,21.0,Male,,Nonstudent,Apprehended/Killed by LE,Yes,Fatal,,,,
19720228CAMAL,14.0,Male,,Student,Unknown,No,,Suspicion of Assault,,,
19720313TXUNH,15.0,Male,,Student,Surrendered,No,,,,,
19720412LAEAG,28.0,Male,,Teacher,Suicide,Yes,Suicide,,,,
19720504NVLIR,53.0,Male,White,Teacher,Fled/Escaped,No,,,,,
19720505INDEI,16.0,Female,White,Student,Surrendered,No,,,Insanity,,
19720914TXFRH,16.0,Male,,Student,Fled/Apprehended,No,,,,,
19720915MISAS,17.0,Male,,Student,Fled/Apprehended,No,,,,,
19720919TXCUH,33.0,Male,,Teacher,Fled/Apprehended,No,,Assult with intent to murder,,,
19720921OHTHA,18.0,Male,,Former Student,Fled/Apprehended,No,,"Attempted armed robbery, assault with deadly weapon",,,
19721111CAJEL,,Male,,Other Student,Fled/Apprehended,No,,,,,
19721111CAJEL,,Male,,Other Student,Fled/Apprehended,No,,,,,
19721127MIPOP,16.0,Male,Black,Student,Fled/Apprehended,No,,,,,
19721129FLMIM,,Male,,Unknown,Fled/Escaped,No,,,,,
19730105NCSOS,,Male,Black,Student,Fled/Apprehended,No,,,,,
19730118CAJOL,19.0,Male,,Unknown,Fled/Apprehended,No,,Attemted murder,,,
19730118CAJOL,18.0,Male,,Unknown,Fled/Apprehended,No,,Attemted murder,,,
19730131NCCUB,17.0,Male,,Student,Fled/Apprehended,No,,,,,
19730212ALBOM,19.0,Male,,No Relation,Fled/Apprehended,No,,"Intent to murder, possession of weapon by felon",,,Ex-felon
19730226VAARR,18.0,Male,Black,Student,Fled/Apprehended,No,,Murder,20 years for Dance,,
19730405CALOL,,Male,,Student,Fled/Escaped,No,,,,,
19730501OHRAY,15.0,Male,,Student,Fled/Apprehended,No,,,,,
19730928CAWIL,16.0,Male,,Student,Apprehended/Killed by SRO,No,Wounded,,,,
19731002ILELA,17.0,Male,,Student,Suicide,Yes,Suicide,,,,
19731019MOBES,14.0,Male,,Student,Fled/Apprehended,No,,,,,
19731023MOSUS,14.0,Male,,Unknown,Fled/Apprehended,No,,Assault with intent to kill,,,
19731023MOSUS,,Male,,Unknown,Fled/Apprehended,No,,Assault with intent to kill,,,
19731023OHBAB,17.0,Male,White,Student,Fled/Apprehended,No,,,,,
19731024MNCEM,17.0,Male,,Student,Fled/Apprehended,No,,,,Yes,
19731031MONOS,18.0,Male,,No Relation,Fled/Apprehended,No,,,,,
19731108ILWOC,16.0,Male,,Student,Fled/Apprehended,No,,,,,
19731109CALOL,,Male,,Unknown,Fled/Apprehended,No,,,,,
19731206CAFRL,,,,Student,Fled/Apprehended,No,,,,,
19731213OHHUC,16.0,Male,,Student,Fled/Apprehended,No,,,,,Robbery
19740117ILBAC,14.0,Male,,Former Student,Subdued by Students/Staff/Other,No,,Murder,,,
19740122CALOL,15.0,Male,,No Relation,Fled/Apprehended,No,,Murder,,Yes,
19740207CAJAO,24.0,Male,Black,No Relation,Fled/Apprehended,No,,,,,
19740322INBRB,17.0,Male,White,Student,Surrendered,No,,Murder,,,
19740402CTSTB,,,,Unknown,Fled/Escaped,No,,,,,
19740510TNCHR,20.0,Male,,Student,Surrendered,No,,,,,
19740519FLHIO,35.0,Male,,Intimate Relationship,Fled/Apprehended,No,,Unknown charge,,,
19740923CAJED,,Male,,Student,Fled/Apprehended,No,,Three charged with attempted murder,,,
19740923CAJED,,Male,,Student,Fled/Apprehended,No,,Three charged with attempted murder,,,
19740923CAJED,,Male,,Student,Fled/Apprehended,No,,Three charged with attempted murder,,,
19740925CASAL,17.0,Male,,Student,Fled/Apprehended,No,,,,,
19741007LADEH,17.0,Male,Black,Student,Apprehended/Killed by LE,No,,,,,
19741021MDDOB,15.0,Male,,No Relation,Fled/Apprehended,No,,,,,
19741118SCCAC,,Male,,No Relation,Fled/Escaped,No,,,,,
19741121ARBOL,15.0,Male,,Student,Surrendered,No,,,,,
19741125SCCAC,,Male,,Student,Fled/Escaped,No,,,,,
19741125SCCAC,,Male,,Student,Fled/Escaped,No,,,,,
19741218CAMAL,17.0,Male,,No Relation,Fled/Escaped,No,,,,,
19741230NYOLO,17.0,Male,White,Student,Apprehended/Killed by LE,No,,,,,No
19750207NYBOM,16.0,Male,,Student,Attempted Suicide,No,Wounded,,,,
19750224NJSTP,24.0,Male,,Former Student,Fled/Apprehended,No,,Murder,Insanity,,
19750312TXJOH,,,,Student,Fled/Escaped,No,,,,,
19750318MOSUS,19.0,Male,,Unknown,Fled/Apprehended,No,,Murder,,,
19750321OHPAD,15.0,Male,,No Relation,Fled/Escaped,No,,,,,
19750321VAFAR,18.0,Male,,No Relation,Other,No,,Felonious Assault,,No,
19750515MOROS,13.0,Male,,Student,Fled/Apprehended,No,,,,,
19750527MIPID,9.0,Male,,Student,Fled/Apprehended,No,,,,No,
19750709ILDEC,,Male,Black,Intimate Relationship,Fled/Apprehended,No,,,,,
19750711MOCES,18.0,Male,,Student,Fled/Apprehended,No,,,,,
19750911OKGRO,15.0,Male,White,Student,Unknown,No,,First Degree Murder,,No,
19751001NMHEA,35.0,Male,,Unknown,Surrendered,No,,,,,
19751024GAMUA,15.0,Male,,Student,Fled/Apprehended,No,,,,,
19751218CAORS,16.0,Male,,Student,Fled/Escaped,No,,,,,
19760101AZCAP,,,,Unknown,Fled/Escaped,No,,,,,
19760123OHCOC,17.0,Male,,Student,Fled/Apprehended,No,,Aggravated murder; felony assault,,,
19760206FLESP,,,,Unknown,Fled/Escaped,No,,,,,
19760212MIMUD,,Male,,Other Student,Fled/Escaped,No,,,,,
19760212MIMUD,,Male,,Other Student,Fled/Escaped,No,,,,,
19760212MIMUD,,Male,,Other Student,Fled/Escaped,No,,,,,
19760212MIMUD,,Male,,Other Student,Fled/Escaped,No,,,,,
19760212MIMUD,,Male,,Other Student,Fled/Escaped,No,,,,,
19760212MIMUD,,Male,,Other Student,Fled/Escaped,No,,,,,
19760412TXODF,15.0,Male,,Student,Fled/Apprehended,No,,,,,
19760513MOMAS,15.0,Male,,Student,Subdued by Students/Staff/Other,No,,,,,
19760514FLPAW,17.0,Male,,Former Student,Apprehended/Killed by LE,No,,,,,
19760602MDMTC,,,,Unknown,Fled/Escaped,No,,,,,
19760920NCGUG,38.0,Male,,No Relation,Suicide,Yes,Suicide,,,,
19761110MIBUD,46.0,Male,,Intimate Relationship,Fled/Apprehended,No,,,,,
19761210MOFRS,11.0,Male,,Student,Surrendered,No,,,,,
19770113ILOLB,15.0,Male,,Student,Subdued by Students/Staff/Other,No,,,,,
19770209ILFEC,14.0,Male,,Student,Fled/Apprehended,No,,"4 counts of murder, various other charges",,No,
19770228MOROS,19.0,Male,,Student,Unknown,No,,,"Guilty, assuault with intent to kill, concealed weapon - 3 years",,
19770228TXHOA,15.0,Male,,Student,Unknown,No,,,Suspended from school for one year,No,
19770308ILCOE,16.0,Male,,Student,Fled/Apprehended,No,,,,,
19770321NYPAH,18.0,Male,,Other Staff,Apprehended/Killed by LE,No,,Felony reckless endangerment,,,
19770407TXWHW,17.0,Male,,Student,Unknown,No,,,,,
19770418TNPIN,46.0,Male,,Unknown,Fled/Apprehended,No,,,,,
19770517FLSTC,22.0,Male,,No Relation,Fled/Apprehended,No,,,,,
19770622ILHOC,,,,Unknown,Fled/Escaped,No,,,,,
19770711COSOC,15.0,,,Student,Fled/Escaped,No,,,,,
19771129MOHAS,19.0,Male,,Former Student,Apprehended/Killed by LE,No,,,,,
19771129MOVAS,18.0,Male,,Student,Unknown,No,,Assault with intent to kill,,,
19771209CAPES,40.0,Male,,Intimate Relationship,Subdued by Students/Staff/Other,No,,Murder,,,
19771212FLWEW,41.0,Male,,Other Staff,Surrendered,No,,,,,
