incidentid,race,injury,gender,schoolaffiliation,age
19700105DCHIW,,Fatal,Male,Student,15.0
19700105DCSOW,,Wounded,Male,Student,
19700105DCUNW,,,Male,Unknown,16.0
19700206OHJOC,,Wounded,Male,Student,18.0
19700323CADAL,,Wounded,Male,Security Guard,44.0
19700323CADAL,,Wounded,Male,Student,16.0
19700415ARPIP,Black,Fatal,Male,Student,20.0
19700415ARPIP,Black,Wounded,Unknown,Student,
19700415ARPIP,Black,Wounded,Unknown,Student,
19700415ARPIP,Black,Wounded,Unknown,Student,
19700415ARPIP,Black,Wounded,Unknown,Student,
19700415ARPIP,Black,Wounded,Unknown,Student,
19700422DEPIW,Black,Fatal,Male,Student,18.0
19700508FLCAD,,Wounded,Male,Student,19.0
19700515UTBEO,,Wounded,Female,Teacher,
19700515UTBEO,,Wounded,Male,Student,15.0
19700828TXRIE,Hispanic,Wounded,Male,Student,15.0
19700831FLALM,Hispanic,Fatal,Male,Parent,
19700914TNHAN,Black,Wounded,Male,Student,16.0
19700914TNHAN,Black,Wounded,Male,Student,16.0
19700914TNHAN,Black,Fatal,Male,Student,20.0
19700924IDMEM,,Fatal,Male,Student,16.0
19700928IACED,,Wounded,Female,Student,
19701005MIPOD,,Wounded,Male,Student,
19701005MIPOD,,Wounded,Male,Student,
19701005MIPOD,,Wounded,Male,Student,
19701005MIPOD,,Wounded,Male,Student,
19701019TNBOM,,Fatal,Male,Student,
19701020TNWAN,,Wounded,Male,Student,15.0
19701027OHAPM,,Wounded,Male,Student,15.0
19701120ILHAC,,Wounded,Female,Student,14.0
19701120ILHAC,,Wounded,Male,Student,15.0
19701212WIXAA,,Fatal,Male,No Relation,42.0
19710202PAMOP,White,Fatal,Male,Teacher,56.0
19710205PAJOW,,Wounded,Male,Student,13.0
19710210TXOAD,,Wounded,,Student,
19710210TXOAD,,Wounded,,Student,
19710225OHFRC,,Fatal,Male,Student,15.0
19710309AZROT,,Wounded,Female,Student,14.0
19710405PAWIH,,Minor Injuries,Female,Student,18.0
19710527MIBES,,Wounded,Male,Student,16.0
19710602NYEAE,,,Male,Student,13.0
19710820PAMOM,Black,Wounded,Male,Student,18.0
19710909TXDUL,Black,Fatal,Male,Student,16.0
19710924NYMCB,,Fatal,Male,Student,23.0
19710928MNCEM,,,,Student,
19710929VAPEP,Black,Wounded,Female,Student,17.0
